timestamp,jammerId,eventType
2.265,25,jamming_active
2.266,25,jamming_active
2.267,25,jamming_active
2.268,25,jamming_active
2.269,25,jamming_active
2.27,25,jamming_active
2.271,25,jamming_active
2.272,25,jamming_active
2.273,25,jamming_active
2.274,25,jamming_active
2.275,25,jamming_active
2.276,25,jamming_active
2.277,25,jamming_active
2.278,25,jamming_active
2.279,25,jamming_active
2.28,25,jamming_active
2.281,25,jamming_active
2.282,25,jamming_active
2.283,25,jamming_active
2.284,25,jamming_active
2.285,25,jamming_active
2.286,25,jamming_active
2.287,25,jamming_active
2.288,25,jamming_active
2.289,25,jamming_active
2.29,25,jamming_active
2.291,25,jamming_active
2.292,25,jamming_active
2.293,25,jamming_active
2.294,25,jamming_active
2.295,25,jamming_active
2.296,25,jamming_active
2.297,25,jamming_active
2.298,25,jamming_active
2.299,25,jamming_active
2.3,25,jamming_active
2.301,25,jamming_active
2.302,25,jamming_active
2.303,25,jamming_active
2.304,25,jamming_active
2.305,25,jamming_active
2.306,25,jamming_active
2.307,25,jamming_active
2.308,25,jamming_active
2.309,25,jamming_active
2.31,25,jamming_active
2.311,25,jamming_active
2.312,25,jamming_active
2.313,25,jamming_active
2.314,25,jamming_active
2.315,25,jamming_active
2.316,25,jamming_active
2.317,25,jamming_active
2.318,25,jamming_active
2.319,25,jamming_active
2.32,25,jamming_active
2.321,25,jamming_active
2.322,25,jamming_active
2.323,25,jamming_active
2.324,25,jamming_active
2.325,25,jamming_active
2.326,25,jamming_active
2.327,25,jamming_active
2.328,25,jamming_active
2.329,25,jamming_active
2.33,25,jamming_active
2.331,25,jamming_active
2.332,25,jamming_active
2.333,25,jamming_active
2.334,25,jamming_active
2.335,25,jamming_active
2.336,25,jamming_active
2.337,25,jamming_active
2.338,25,jamming_active
2.339,25,jamming_active
2.34,25,jamming_active
2.341,25,jamming_active
2.342,25,jamming_active
2.343,25,jamming_active
2.344,25,jamming_active
2.345,25,jamming_active
2.346,25,jamming_active
2.347,25,jamming_active
2.348,25,jamming_active
2.349,25,jamming_active
2.35,25,jamming_active
2.351,25,jamming_active
2.352,25,jamming_active
2.353,25,jamming_active
2.354,25,jamming_active
2.355,25,jamming_active
2.356,25,jamming_active
2.357,25,jamming_active
2.358,25,jamming_active
2.359,25,jamming_active
2.36,25,jamming_active
2.361,25,jamming_active
2.362,25,jamming_active
2.363,25,jamming_active
2.364,25,jamming_active
2.365,25,jamming_active
2.366,25,jamming_active
2.367,25,jamming_active
2.368,25,jamming_active
2.369,25,jamming_active
2.37,25,jamming_active
2.371,25,jamming_active
2.372,25,jamming_active
2.373,25,jamming_active
2.374,25,jamming_active
2.375,25,jamming_active
2.376,25,jamming_active
2.377,25,jamming_active
2.378,25,jamming_active
2.379,25,jamming_active
2.38,25,jamming_active
2.381,25,jamming_active
2.382,25,jamming_active
2.383,25,jamming_active
2.384,25,jamming_active
2.385,25,jamming_active
2.386,25,jamming_active
2.387,25,jamming_active
2.388,25,jamming_active
2.389,25,jamming_active
2.39,25,jamming_active
2.391,25,jamming_active
2.392,25,jamming_active
2.393,25,jamming_active
2.394,25,jamming_active
2.395,25,jamming_active
2.396,25,jamming_active
2.397,25,jamming_active
2.398,25,jamming_active
2.399,25,jamming_active
2.4,25,jamming_active
2.401,25,jamming_active
2.402,25,jamming_active
2.403,25,jamming_active
2.404,25,jamming_active
2.405,25,jamming_active
2.406,25,jamming_active
2.407,25,jamming_active
2.408,25,jamming_active
2.409,25,jamming_active
2.41,25,jamming_active
2.411,25,jamming_active
2.412,25,jamming_active
2.413,25,jamming_active
2.414,25,jamming_active
2.415,25,jamming_active
2.416,25,jamming_active
2.417,25,jamming_active
2.418,25,jamming_active
2.419,25,jamming_active
2.42,25,jamming_active
2.421,25,jamming_active
2.422,25,jamming_active
2.423,25,jamming_active
2.424,25,jamming_active
2.425,25,jamming_active
2.426,25,jamming_active
2.427,25,jamming_active
2.428,25,jamming_active
2.429,25,jamming_active
2.43,25,jamming_active
2.431,25,jamming_active
2.432,25,jamming_active
2.433,25,jamming_active
2.434,25,jamming_active
2.435,25,jamming_active
2.436,25,jamming_active
2.437,25,jamming_active
2.438,25,jamming_active
2.439,25,jamming_active
2.44,25,jamming_active
2.441,25,jamming_active
2.442,25,jamming_active
2.443,25,jamming_active
2.444,25,jamming_active
2.445,25,jamming_active
2.446,25,jamming_active
2.447,25,jamming_active
2.448,25,jamming_active
2.449,25,jamming_active
2.45,25,jamming_active
2.451,25,jamming_active
2.452,25,jamming_active
2.453,25,jamming_active
2.454,25,jamming_active
2.455,25,jamming_active
2.456,25,jamming_active
2.457,25,jamming_active
2.458,25,jamming_active
2.459,25,jamming_active
2.46,25,jamming_active
2.461,25,jamming_active
2.462,25,jamming_active
2.463,25,jamming_active
2.464,25,jamming_active
2.465,25,jamming_active
2.466,25,jamming_active
2.467,25,jamming_active
2.468,25,jamming_active
2.469,25,jamming_active
2.47,25,jamming_active
2.471,25,jamming_active
2.472,25,jamming_active
2.473,25,jamming_active
2.474,25,jamming_active
2.475,25,jamming_active
2.476,25,jamming_active
2.477,25,jamming_active
2.478,25,jamming_active
2.479,25,jamming_active
2.48,25,jamming_active
2.481,25,jamming_active
2.482,25,jamming_active
2.483,25,jamming_active
2.484,25,jamming_active
2.485,25,jamming_active
2.486,25,jamming_active
2.487,25,jamming_active
2.488,25,jamming_active
2.489,25,jamming_active
2.49,25,jamming_active
2.491,25,jamming_active
2.492,25,jamming_active
2.493,25,jamming_active
2.494,25,jamming_active
2.495,25,jamming_active
2.496,25,jamming_active
2.497,25,jamming_active
2.498,25,jamming_active
2.499,25,jamming_active
2.5,25,jamming_active
2.501,25,jamming_active
2.502,25,jamming_active
2.503,25,jamming_active
2.504,25,jamming_active
2.505,25,jamming_active
2.506,25,jamming_active
2.507,25,jamming_active
2.508,25,jamming_active
2.509,25,jamming_active
2.51,25,jamming_active
2.511,25,jamming_active
2.512,25,jamming_active
2.513,25,jamming_active
2.514,25,jamming_active
2.515,25,jamming_active
2.516,25,jamming_active
2.517,25,jamming_active
2.518,25,jamming_active
2.519,25,jamming_active
2.52,25,jamming_active
2.521,25,jamming_active
2.522,25,jamming_active
2.523,25,jamming_active
2.524,25,jamming_active
2.525,25,jamming_active
2.526,25,jamming_active
2.527,25,jamming_active
2.528,25,jamming_active
2.529,25,jamming_active
2.53,25,jamming_active
2.531,25,jamming_active
2.532,25,jamming_active
2.533,25,jamming_active
2.534,25,jamming_active
2.535,25,jamming_active
2.536,25,jamming_active
2.537,25,jamming_active
2.538,25,jamming_active
2.539,25,jamming_active
2.54,25,jamming_active
2.541,25,jamming_active
2.542,25,jamming_active
2.543,25,jamming_active
2.544,25,jamming_active
2.545,25,jamming_active
2.546,25,jamming_active
2.547,25,jamming_active
2.548,25,jamming_active
2.549,25,jamming_active
2.55,25,jamming_active
2.551,25,jamming_active
2.552,25,jamming_active
2.553,25,jamming_active
2.554,25,jamming_active
2.555,25,jamming_active
2.556,25,jamming_active
2.557,25,jamming_active
2.558,25,jamming_active
2.559,25,jamming_active
2.56,25,jamming_active
2.561,25,jamming_active
2.562,25,jamming_active
2.563,25,jamming_active
2.564,25,jamming_active
2.565,25,jamming_active
2.566,25,jamming_active
2.567,25,jamming_active
2.568,25,jamming_active
2.569,25,jamming_active
2.57,25,jamming_active
2.571,25,jamming_active
2.572,25,jamming_active
2.573,25,jamming_active
2.574,25,jamming_active
2.575,25,jamming_active
2.576,25,jamming_active
2.577,25,jamming_active
2.578,25,jamming_active
2.579,25,jamming_active
2.58,25,jamming_active
2.581,25,jamming_active
2.582,25,jamming_active
2.583,25,jamming_active
2.584,25,jamming_active
2.585,25,jamming_active
2.586,25,jamming_active
2.587,25,jamming_active
2.588,25,jamming_active
2.589,25,jamming_active
2.59,25,jamming_active
2.591,25,jamming_active
2.592,25,jamming_active
2.593,25,jamming_active
2.594,25,jamming_active
2.595,25,jamming_active
2.596,25,jamming_active
2.597,25,jamming_active
2.598,25,jamming_active
2.599,25,jamming_active
2.6,25,jamming_active
2.601,25,jamming_active
2.602,25,jamming_active
2.603,25,jamming_active
2.604,25,jamming_active
2.605,25,jamming_active
2.606,25,jamming_active
2.607,25,jamming_active
2.608,25,jamming_active
2.609,25,jamming_active
2.61,25,jamming_active
2.611,25,jamming_active
2.612,25,jamming_active
2.613,25,jamming_active
2.614,25,jamming_active
2.615,25,jamming_active
2.616,25,jamming_active
2.617,25,jamming_active
2.618,25,jamming_active
2.619,25,jamming_active
2.62,25,jamming_active
2.621,25,jamming_active
2.622,25,jamming_active
2.623,25,jamming_active
2.624,25,jamming_active
2.625,25,jamming_active
2.626,25,jamming_active
2.627,25,jamming_active
2.628,25,jamming_active
2.629,25,jamming_active
2.63,25,jamming_active
2.631,25,jamming_active
2.632,25,jamming_active
2.633,25,jamming_active
2.634,25,jamming_active
2.635,25,jamming_active
2.636,25,jamming_active
2.637,25,jamming_active
2.638,25,jamming_active
2.639,25,jamming_active
2.64,25,jamming_active
2.641,25,jamming_active
2.642,25,jamming_active
2.643,25,jamming_active
2.644,25,jamming_active
