timestamp,attackerId,replayedMessage
1.1,4,BSM,4,129,6,9,6,1
1.2,4,BSM,4,129.9,6.6,9,6,1.1
1.3,4,BSM,4,130.8,7.2,9,6,1.2
1.4,4,BSM,4,131.7,7.8,9,6,1.3
1.5,4,BSM,4,132.6,8.4,9,6,1.4
1.6,4,BSM,4,133.5,9,9,6,1.5
1.7,4,BSM,4,134.4,9.6,9,6,1.6
1.8,4,BSM,4,135.3,10.2,9,6,1.7
1.9,4,BSM,4,136.2,10.8,9,6,1.8
2,4,BSM,4,137.1,11.4,9,6,1.9
2.1,4,BSM,4,138,12,9,6,2
2.2,4,BSM,4,138.9,12.6,9,6,2.1
2.3,4,BSM,4,139.8,13.2,9,6,2.2
2.4,4,BSM,4,140.7,13.8,9,6,2.3
2.5,4,BSM,4,141.6,14.4,9,6,2.4
2.6,4,BSM,4,142.5,15,9,6,2.5
2.7,4,BSM,4,143.4,15.6,9,6,2.6
2.8,4,BSM,4,144.3,16.2,9,6,2.7
2.9,4,BSM,4,145.2,16.8,9,6,2.8
6,4,attack_started,replay
16,4,attack_started,replay
26,4,attack_started,replay
