nodeId,message,rssi
10,BSM,0,8,6,8,6,1,-1
1,BSM,0,8,6,8,6,1,-1
11,BSM,0,8,6,8,6,1,-1
20,BSM,0,8,6,8,6,1,-1
2,BSM,0,8,6,8,6,1,-1
12,BSM,0,8,6,8,6,1,-1
21,BSM,0,8,6,8,6,1,-1
22,BSM,0,8,6,8,6,1,-1
3,BSM,0,8,6,8,6,1,-1
30,BSM,0,8,6,8,6,1,-1
13,BSM,0,8,6,8,6,1,-1
31,BSM,0,8,6,8,6,1,-1
32,BSM,0,8,6,8,6,1,-1
23,BSM,0,8,6,8,6,1,-1
40,BSM,0,8,6,8,6,1,-1
4,BSM,0,8,6,8,6,1,-1
41,BSM,0,8,6,8,6,1,-1
14,BSM,0,8,6,8,6,1,-1
33,BSM,0,8,6,8,6,1,-1
24,BSM,0,8,6,8,6,1,-1
42,BSM,0,8,6,8,6,1,-1
50,BSM,0,8,6,8,6,1,-1
34,BSM,0,8,6,8,6,1,-1
43,BSM,0,8,6,8,6,1,-1
5,BSM,0,8,6,8,6,1,-1
15,BSM,0,8,6,8,6,1,-1
51,BSM,0,8,6,8,6,1,-1
52,BSM,0,8,6,8,6,1,-1
25,BSM,0,8,6,8,6,1,-1
44,BSM,0,8,6,8,6,1,-1
53,BSM,0,8,6,8,6,1,-1
35,BSM,0,8,6,8,6,1,-1
6,BSM,0,8,6,8,6,1,-1
60,BSM,0,8,6,8,6,1,-1
16,BSM,0,8,6,8,6,1,-1
61,BSM,0,8,6,8,6,1,-1
62,BSM,0,8,6,8,6,1,-1
26,BSM,0,8,6,8,6,1,-1
54,BSM,0,8,6,8,6,1,-1
45,BSM,0,8,6,8,6,1,-1
36,BSM,0,8,6,8,6,1,-1
63,BSM,0,8,6,8,6,1,-1
70,BSM,0,8,6,8,6,1,-1
7,BSM,0,8,6,8,6,1,-1
55,BSM,0,8,6,8,6,1,-1
71,BSM,0,8,6,8,6,1,-1
17,BSM,0,8,6,8,6,1,-1
64,BSM,0,8,6,8,6,1,-1
46,BSM,0,8,6,8,6,1,-1
27,BSM,0,8,6,8,6,1,-1
