timestamp,nodeId,attackType,detectionScore
19.9,0,hybrid_detection,trust_score=0
19.9,2,hybrid_detection,trust_score=0
19.9,4,hybrid_detection,trust_score=0
19.9,6,hybrid_detection,trust_score=0
20,0,ml_anomaly,132
20,2,ml_anomaly,132
20,4,ml_anomaly,132
20,6,ml_anomaly,132
20.1,0,hybrid_detection,trust_score=0
20.1,2,hybrid_detection,trust_score=0
20.1,4,hybrid_detection,trust_score=0
20.1,6,hybrid_detection,trust_score=0
20.3,0,hybrid_detection,trust_score=0
20.3,2,hybrid_detection,trust_score=0
20.3,4,hybrid_detection,trust_score=0
20.3,6,hybrid_detection,trust_score=0
20.5,0,ml_anomaly,135
20.5,2,ml_anomaly,135
20.5,4,ml_anomaly,135
20.5,6,ml_anomaly,135
20.5,0,hybrid_detection,trust_score=0
20.5,2,hybrid_detection,trust_score=0
20.5,4,hybrid_detection,trust_score=0
20.5,6,hybrid_detection,trust_score=0
20.7,0,hybrid_detection,trust_score=0
20.7,2,hybrid_detection,trust_score=0
20.7,4,hybrid_detection,trust_score=0
20.7,6,hybrid_detection,trust_score=0
20.9,0,hybrid_detection,trust_score=0
20.9,2,hybrid_detection,trust_score=0
20.9,4,hybrid_detection,trust_score=0
20.9,6,hybrid_detection,trust_score=0
21,0,ml_anomaly,139
21,2,ml_anomaly,139
21,4,ml_anomaly,139
21,6,ml_anomaly,139
21.1,0,hybrid_detection,trust_score=0
21.1,2,hybrid_detection,trust_score=0
21.1,4,hybrid_detection,trust_score=0
21.1,6,hybrid_detection,trust_score=0
21.3,0,hybrid_detection,trust_score=0
21.3,2,hybrid_detection,trust_score=0
21.3,4,hybrid_detection,trust_score=0
21.3,6,hybrid_detection,trust_score=0
21.5,0,ml_anomaly,142
21.5,2,ml_anomaly,142
21.5,4,ml_anomaly,142
21.5,6,ml_anomaly,142
21.5,0,hybrid_detection,trust_score=0
21.5,2,hybrid_detection,trust_score=0
21.5,4,hybrid_detection,trust_score=0
21.5,6,hybrid_detection,trust_score=0
21.7,0,hybrid_detection,trust_score=0
21.7,2,hybrid_detection,trust_score=0
21.7,4,hybrid_detection,trust_score=0
