timestamp,nodeId,event,details
9,57,route_reconfigured,trusted_neighbors=120
9,58,route_reconfigured,trusted_neighbors=110
9,62,route_reconfigured,trusted_neighbors=121
9,63,route_reconfigured,trusted_neighbors=123
9,64,route_reconfigured,trusted_neighbors=126
9,65,route_reconfigured,trusted_neighbors=125
9,66,route_reconfigured,trusted_neighbors=123
9,67,route_reconfigured,trusted_neighbors=120
9,68,route_reconfigured,trusted_neighbors=107
9,74,route_reconfigured,trusted_neighbors=126
9,76,route_reconfigured,trusted_neighbors=123
14,0,route_reconfigured,trusted_neighbors=51
14,1,route_reconfigured,trusted_neighbors=68
14,2,route_reconfigured,trusted_neighbors=72
14,3,route_reconfigured,trusted_neighbors=75
14,4,route_reconfigured,trusted_neighbors=76
14,5,route_reconfigured,trusted_neighbors=80
14,6,route_reconfigured,trusted_neighbors=74
14,7,route_reconfigured,trusted_neighbors=74
14,8,route_reconfigured,trusted_neighbors=62
14,9,route_reconfigured,trusted_neighbors=66
14,10,route_reconfigured,trusted_neighbors=64
14,11,route_reconfigured,trusted_neighbors=81
14,12,route_reconfigured,trusted_neighbors=76
14,13,route_reconfigured,trusted_neighbors=88
14,14,route_reconfigured,trusted_neighbors=85
14,15,route_reconfigured,trusted_neighbors=88
14,16,route_reconfigured,trusted_neighbors=83
14,17,route_reconfigured,trusted_neighbors=84
14,18,route_reconfigured,trusted_neighbors=77
14,19,route_reconfigured,trusted_neighbors=70
14,20,route_reconfigured,trusted_neighbors=78
14,21,route_reconfigured,trusted_neighbors=81
14,22,route_reconfigured,trusted_neighbors=90
14,23,route_reconfigured,trusted_neighbors=99
14,24,route_reconfigured,trusted_neighbors=93
14,25,route_reconfigured,trusted_neighbors=100
14,26,route_reconfigured,trusted_neighbors=92
14,27,route_reconfigured,trusted_neighbors=96
14,28,route_reconfigured,trusted_neighbors=85
14,29,route_reconfigured,trusted_neighbors=75
14,30,route_reconfigured,trusted_neighbors=75
14,31,route_reconfigured,trusted_neighbors=97
14,32,route_reconfigured,trusted_neighbors=101
14,33,route_reconfigured,trusted_neighbors=105
14,34,route_reconfigured,trusted_neighbors=105
14,35,route_reconfigured,trusted_neighbors=110
14,36,route_reconfigured,trusted_neighbors=103
14,37,route_reconfigured,trusted_neighbors=104
14,38,route_reconfigured,trusted_neighbors=90
14,39,route_reconfigured,trusted_neighbors=94
14,40,route_reconfigured,trusted_neighbors=90
14,41,route_reconfigured,trusted_neighbors=111
14,42,route_reconfigured,trusted_neighbors=106
14,43,route_reconfigured,trusted_neighbors=118
14,44,route_reconfigured,trusted_neighbors=115
14,45,route_reconfigured,trusted_neighbors=118
14,46,route_reconfigured,trusted_neighbors=113
14,47,route_reconfigured,trusted_neighbors=114
14,48,route_reconfigured,trusted_neighbors=107
14,49,route_reconfigured,trusted_neighbors=95
14,52,route_reconfigured,trusted_neighbors=119
14,53,route_reconfigured,trusted_neighbors=124
14,54,route_reconfigured,trusted_neighbors=121
14,55,route_reconfigured,trusted_neighbors=123
14,56,route_reconfigured,trusted_neighbors=119
14,57,route_reconfigured,trusted_neighbors=121
14,58,route_reconfigured,trusted_neighbors=110
14,62,route_reconfigured,trusted_neighbors=122
14,63,route_reconfigured,trusted_neighbors=122
14,64,route_reconfigured,trusted_neighbors=126
14,65,route_reconfigured,trusted_neighbors=125
14,66,route_reconfigured,trusted_neighbors=123
14,67,route_reconfigured,trusted_neighbors=120
14,68,route_reconfigured,trusted_neighbors=106
14,74,route_reconfigured,trusted_neighbors=126
14,76,route_reconfigured,trusted_neighbors=124
19,0,route_reconfigured,trusted_neighbors=48
19,1,route_reconfigured,trusted_neighbors=69
19,2,route_reconfigured,trusted_neighbors=72
19,3,route_reconfigured,trusted_neighbors=75
19,4,route_reconfigured,trusted_neighbors=75
19,5,route_reconfigured,trusted_neighbors=80
19,6,route_reconfigured,trusted_neighbors=73
19,7,route_reconfigured,trusted_neighbors=74
19,8,route_reconfigured,trusted_neighbors=59
19,9,route_reconfigured,trusted_neighbors=66
19,10,route_reconfigured,trusted_neighbors=62
19,11,route_reconfigured,trusted_neighbors=83
19,12,route_reconfigured,trusted_neighbors=73
19,13,route_reconfigured,trusted_neighbors=88
19,14,route_reconfigured,trusted_neighbors=85
19,15,route_reconfigured,trusted_neighbors=88
19,16,route_reconfigured,trusted_neighbors=82
19,17,route_reconfigured,trusted_neighbors=83
19,18,route_reconfigured,trusted_neighbors=76
19,19,route_reconfigured,trusted_neighbors=70
19,20,route_reconfigured,trusted_neighbors=78
19,21,route_reconfigured,trusted_neighbors=81
19,22,route_reconfigured,trusted_neighbors=88
19,23,route_reconfigured,trusted_neighbors=100
19,24,route_reconfigured,trusted_neighbors=92
19,25,route_reconfigured,trusted_neighbors=100
19,26,route_reconfigured,trusted_neighbors=92
19,27,route_reconfigured,trusted_neighbors=96
19,28,route_reconfigured,trusted_neighbors=83
19,29,route_reconfigured,trusted_neighbors=73
19,30,route_reconfigured,trusted_neighbors=71
19,31,route_reconfigured,trusted_neighbors=97
19,32,route_reconfigured,trusted_neighbors=101
19,33,route_reconfigured,trusted_neighbors=105
19,34,route_reconfigured,trusted_neighbors=104
19,35,route_reconfigured,trusted_neighbors=110
19,36,route_reconfigured,trusted_neighbors=102
19,37,route_reconfigured,trusted_neighbors=104
19,38,route_reconfigured,trusted_neighbors=87
19,39,route_reconfigured,trusted_neighbors=94
19,40,route_reconfigured,trusted_neighbors=88
19,41,route_reconfigured,trusted_neighbors=112
19,42,route_reconfigured,trusted_neighbors=102
19,43,route_reconfigured,trusted_neighbors=118
19,44,route_reconfigured,trusted_neighbors=115
19,45,route_reconfigured,trusted_neighbors=118
19,46,route_reconfigured,trusted_neighbors=112
19,47,route_reconfigured,trusted_neighbors=111
19,48,route_reconfigured,trusted_neighbors=106
19,49,route_reconfigured,trusted_neighbors=94
19,50,route_reconfigured,trusted_neighbors=103
19,52,route_reconfigured,trusted_neighbors=117
19,53,route_reconfigured,trusted_neighbors=124
19,54,route_reconfigured,trusted_neighbors=120
19,55,route_reconfigured,trusted_neighbors=123
19,56,route_reconfigured,trusted_neighbors=119
19,57,route_reconfigured,trusted_neighbors=121
19,58,route_reconfigured,trusted_neighbors=109
19,62,route_reconfigured,trusted_neighbors=122
19,63,route_reconfigured,trusted_neighbors=122
19,64,route_reconfigured,trusted_neighbors=126
19,65,route_reconfigured,trusted_neighbors=125
19,66,route_reconfigured,trusted_neighbors=123
19,67,route_reconfigured,trusted_neighbors=119
19,68,route_reconfigured,trusted_neighbors=104
19,74,route_reconfigured,trusted_neighbors=126
19,76,route_reconfigured,trusted_neighbors=124
19,78,route_reconfigured,trusted_neighbors=116
24,0,route_reconfigured,trusted_neighbors=48
24,1,route_reconfigured,trusted_neighbors=69
24,2,route_reconfigured,trusted_neighbors=73
24,3,route_reconfigured,trusted_neighbors=75
24,4,route_reconfigured,trusted_neighbors=75
24,5,route_reconfigured,trusted_neighbors=80
24,6,route_reconfigured,trusted_neighbors=73
24,7,route_reconfigured,trusted_neighbors=73
24,8,route_reconfigured,trusted_neighbors=57
24,9,route_reconfigured,trusted_neighbors=68
24,10,route_reconfigured,trusted_neighbors=63
24,11,route_reconfigured,trusted_neighbors=86
24,12,route_reconfigured,trusted_neighbors=73
24,13,route_reconfigured,trusted_neighbors=88
24,14,route_reconfigured,trusted_neighbors=85
24,15,route_reconfigured,trusted_neighbors=89
24,16,route_reconfigured,trusted_neighbors=81
24,17,route_reconfigured,trusted_neighbors=81
24,18,route_reconfigured,trusted_neighbors=76
24,19,route_reconfigured,trusted_neighbors=70
24,20,route_reconfigured,trusted_neighbors=81
24,21,route_reconfigured,trusted_neighbors=80
24,22,route_reconfigured,trusted_neighbors=88
24,23,route_reconfigured,trusted_neighbors=102
24,24,route_reconfigured,trusted_neighbors=92
24,25,route_reconfigured,trusted_neighbors=100
24,26,route_reconfigured,trusted_neighbors=90
24,27,route_reconfigured,trusted_neighbors=97
24,28,route_reconfigured,trusted_neighbors=82
24,29,route_reconfigured,trusted_neighbors=70
24,30,route_reconfigured,trusted_neighbors=71
24,31,route_reconfigured,trusted_neighbors=97
24,32,route_reconfigured,trusted_neighbors=102
24,33,route_reconfigured,trusted_neighbors=105
24,34,route_reconfigured,trusted_neighbors=104
