t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
416.0,421.0,2500,50,25.0,0.0,49.0,,highway,density-50
421.0,426.0,2500,50,25.0,0.0,49.0,,highway,density-50
426.0,431.0,2500,50,25.0,0.0,49.0,,highway,density-50
431.0,436.0,2500,50,25.0,0.0,49.0,,highway,density-50
436.0,441.0,2500,50,25.0,0.0,49.0,,highway,density-50
441.0,446.0,2500,50,25.0,0.0,49.0,,highway,density-50
446.0,451.0,2500,50,25.0,0.0,49.0,,highway,density-50
451.0,456.0,2500,50,25.0,0.0,49.0,,highway,density-50
456.0,461.0,2500,50,25.0,0.0,49.0,,highway,density-50
461.0,466.0,2500,50,25.0,0.0,49.0,,highway,density-50
466.0,471.0,2500,50,25.0,0.0,49.0,,highway,density-50
471.0,476.0,2500,50,25.0,0.0,49.0,,highway,density-50
476.0,481.0,2500,50,25.0,0.0,49.0,,highway,density-50
481.0,486.0,2500,50,25.0,0.0,49.0,,highway,density-50
486.0,491.0,2500,50,25.0,0.0,49.0,,highway,density-50
491.0,496.0,2500,50,25.0,0.0,49.0,,highway,density-50
496.0,501.0,2500,50,25.0,0.0,49.0,,highway,density-50
501.0,506.0,2500,50,25.0,0.0,49.0,,highway,density-50
506.0,511.0,2500,50,25.0,0.0,49.0,,highway,density-50
511.0,516.0,2500,50,25.0,0.0,49.0,,highway,density-50
516.0,521.0,2500,50,25.0,0.0,49.0,,highway,density-50
521.0,526.0,2500,50,25.0,0.0,49.0,,highway,density-50
526.0,531.0,2500,50,25.0,0.0,49.0,,highway,density-50
531.0,536.0,2500,50,25.0,0.0,49.0,,highway,density-50
536.0,541.0,2500,50,25.0,0.0,49.0,,highway,density-50
541.0,546.0,2500,50,25.0,0.0,49.0,,highway,density-50
546.0,551.0,2500,50,25.0,0.0,49.0,,highway,density-50
551.0,556.0,2500,50,25.0,0.0,49.0,,highway,density-50
556.0,561.0,2500,50,25.0,0.0,49.0,,highway,density-50
561.0,566.0,2500,50,25.0,0.0,49.0,,highway,density-50
566.0,571.0,2500,50,25.0,0.0,49.0,,highway,density-50
