timestamp,nodeId,neighborCount
1,0,4
1,1,2
1,2,7
1,3,8
1,4,5
1,5,7
1,6,5
1,7,8
1,8,2
1,9,2
1,10,3
1,11,2
1,12,4
1,13,4
1,14,4
1,15,5
1,16,4
1,17,5
1,18,3
1,19,1
1,20,2
1,21,4
1,22,2
1,23,8
1,24,1
1,25,2
1,26,4
1,27,4
1,28,3
1,29,4
1,30,4
1,31,6
1,32,5
1,33,2
1,34,2
1,35,5
1,36,4
1,37,4
1,38,4
1,39,8
1,40,0
1,41,3
1,42,5
1,43,2
1,44,3
1,45,0
1,46,6
1,47,6
1,48,1
1,49,4
1,50,7
1,51,6
1,52,4
1,53,5
1,54,3
1,55,1
1,56,1
1,57,3
1,58,6
1,59,3
1,60,2
1,61,5
1,62,1
1,63,4
1,64,2
1,65,4
1,66,0
1,67,4
1,68,8
1,69,6
1,70,5
1,71,4
1,72,4
1,73,3
1,74,7
1,75,10
1,76,0
1,77,6
1,78,4
1,79,10
1,80,8
1,81,1
1,82,2
1,83,7
1,84,5
1,85,3
1,86,4
1,87,5
1,88,6
1,89,5
1,90,1
1,91,8
1,92,4
1,93,4
1,94,0
1,95,3
1,96,5
1,97,8
1,98,2
1,99,2
1,100,1
1,101,0
1,102,5
1,103,4
1,104,3
1,105,4
1,106,2
1,107,2
1,108,4
1,109,5
1,110,2
1,111,4
1,112,8
1,113,3
1,114,3
1,115,5
1,116,1
1,117,10
1,118,2
1,119,3
1,120,3
1,121,3
1,122,8
1,123,5
1,124,8
1,125,6
1,126,6
1,127,5
1,128,7
1,129,3
1,130,5
1,131,6
1.2,0,4
1.2,1,2
1.2,2,7
1.2,3,8
1.2,4,5
1.2,5,7
1.2,6,5
1.2,7,8
1.2,8,2
1.2,9,2
1.2,10,3
1.2,11,2
1.2,12,4
1.2,13,4
1.2,14,4
1.2,15,5
1.2,16,4
1.2,17,5
1.2,18,3
1.2,19,1
1.2,20,2
1.2,21,4
1.2,22,2
1.2,23,8
1.2,24,1
1.2,25,2
1.2,26,4
1.2,27,4
1.2,28,3
1.2,29,4
1.2,30,4
1.2,31,6
1.2,32,5
1.2,33,2
1.2,34,2
1.2,35,5
1.2,36,4
1.2,37,4
1.2,38,4
1.2,39,8
1.2,40,0
1.2,41,3
1.2,42,5
1.2,43,2
1.2,44,3
1.2,45,0
1.2,46,6
1.2,47,6
1.2,48,1
1.2,49,4
1.2,50,7
1.2,51,6
1.2,52,4
1.2,53,5
1.2,54,3
1.2,55,1
1.2,56,1
1.2,57,3
1.2,58,6
1.2,59,3
1.2,60,2
1.2,61,5
1.2,62,1
1.2,63,4
1.2,64,2
1.2,65,4
1.2,66,0
1.2,67,4
1.2,68,8
1.2,69,6
1.2,70,5
1.2,71,4
1.2,72,4
1.2,73,3
1.2,74,7
1.2,75,10
1.2,76,0
1.2,77,6
1.2,78,4
1.2,79,10
1.2,80,8
1.2,81,1
1.2,82,2
1.2,83,7
1.2,84,5
1.2,85,3
1.2,86,4
1.2,87,5
1.2,88,6
1.2,89,5
1.2,90,1
1.2,91,8
1.2,92,4
1.2,93,4
1.2,94,0
1.2,95,3
