timestamp,attackerId,fakePosX,fakePosY
1,20,3546.62,1982.59
1.1,20,3546.62,1982.59
1.2,20,3546.62,1982.59
1.3,20,3546.62,1982.59
1.4,20,3546.62,1982.59
1.5,20,3546.62,1982.59
1.6,20,3546.62,1982.59
1.7,20,3546.62,1982.59
1.8,20,3546.62,1982.59
1.9,20,3546.62,1982.59
2,20,3546.62,1982.59
2.1,20,3546.62,1982.59
2.2,20,3546.62,1982.59
2.3,20,3546.62,1982.59
2.4,20,3546.62,1982.59
2.5,20,3546.62,1982.59
2.6,20,3546.62,1982.59
2.7,20,3546.62,1982.59
2.8,20,3546.62,1982.59
2.9,20,3546.62,1982.59
3,20,3546.62,1982.59
3.1,20,3546.62,1982.59
3.2,20,3546.62,1982.59
3.3,20,3546.62,1982.59
3.4,20,3546.62,1982.59
3.5,20,3546.62,1982.59
3.6,20,3546.62,1982.59
3.7,20,3546.62,1982.59
3.8,20,3546.62,1982.59
3.9,20,3546.62,1982.59
4,20,3546.62,1982.59
4.1,20,3546.62,1982.59
4.2,20,3546.62,1982.59
4.3,20,3546.62,1982.59
4.4,20,3546.62,1982.59
4.5,20,3546.62,1982.59
4.6,20,3546.62,1982.59
4.7,20,3546.62,1982.59
4.8,20,3546.62,1982.59
4.9,20,3546.62,1982.59
5,20,3546.62,1982.59
5.1,20,3546.62,1982.59
5.2,20,3546.62,1982.59
5.3,20,3546.62,1982.59
5.4,20,3546.62,1982.59
5.5,20,3546.62,1982.59
5.6,20,3546.62,1982.59
5.7,20,3546.62,1982.59
5.8,20,3546.62,1982.59
5.9,20,3546.62,1982.59
6,20,3546.62,1982.59
6.1,20,3546.62,1982.59
6.2,20,3546.62,1982.59
6.3,20,3546.62,1982.59
6.4,20,3546.62,1982.59
6.5,20,3546.62,1982.59
6.6,20,3546.62,1982.59
6.7,20,3546.62,1982.59
6.8,20,3546.62,1982.59
6.9,20,3546.62,1982.59
7,20,3546.62,1982.59
7.1,20,3546.62,1982.59
7.2,20,3546.62,1982.59
7.3,20,3546.62,1982.59
7.4,20,3546.62,1982.59
7.5,20,3546.62,1982.59
7.6,20,3546.62,1982.59
7.7,20,3546.62,1982.59
7.8,20,3546.62,1982.59
7.9,20,3546.62,1982.59
8,20,attack_started,falsification
8,20,3546.62,1982.59
8.1,20,3546.62,1982.59
8.2,20,3546.62,1982.59
8.3,20,3546.62,1982.59
8.4,20,3546.62,1982.59
8.5,20,3546.62,1982.59
8.6,20,3546.62,1982.59
8.7,20,3546.62,1982.59
8.8,20,3546.62,1982.59
8.9,20,3546.62,1982.59
9,20,3546.62,1982.59
9.1,20,3546.62,1982.59
9.2,20,3546.62,1982.59
9.3,20,3546.62,1982.59
9.4,20,3546.62,1982.59
9.5,20,3546.62,1982.59
9.6,20,3546.62,1982.59
9.7,20,3546.62,1982.59
9.8,20,3546.62,1982.59
9.9,20,3546.62,1982.59
