t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
50.0,55.0,1450,29,13.399999906620835,6.420624426277772e-10,,,mixed,density-100
55.0,60.0,1450,29,13.400000693008819,6.656701959983577e-10,,,mixed,density-100
60.0,65.0,1450,29,13.400001796701858,6.49461948887043e-10,,,mixed,density-100
65.0,70.0,1450,29,13.39999879909199,6.533984980332774e-10,,,mixed,density-100
70.0,75.0,1450,29,13.399999694088171,6.315401984768317e-10,,,mixed,density-100
75.0,80.0,1450,29,13.400000869103565,6.413035982067581e-10,,,mixed,density-100
80.0,85.0,1450,29,13.399998905599842,6.632206237249676e-10,,,mixed,density-100
85.0,90.0,1450,29,13.399999223132543,6.728039079508078e-10,,,mixed,density-100
90.0,95.0,1450,29,13.399999941988206,6.455924310620661e-10,,,mixed,density-100
95.0,100.0,1450,29,13.400000520950938,6.550309841972468e-10,,,mixed,density-100
0.0,5.0,1450,29,13.400000904965792,6.43771725589981e-10,125.82,,mixed,density-150
5.0,10.0,1450,29,13.400001060448261,6.507048457328235e-10,125.58826666666667,,mixed,density-150
10.0,15.0,1450,29,13.399998537675108,6.458298448978496e-10,125.32746666666667,,mixed,density-150
15.0,20.0,1450,29,13.40000016438809,6.318823296318955e-10,125.76853333333334,,mixed,density-150
20.0,25.0,1450,29,13.399999848519261,6.569873314676554e-10,125.69066666666667,,mixed,density-150
25.0,30.0,1450,29,13.399999780477188,6.484108723712375e-10,125.33706666666667,,mixed,density-150
30.0,35.0,1450,29,13.400000390937503,6.720283789553319e-10,,,mixed,density-150
35.0,40.0,1450,29,13.399999983545056,6.683940675069574e-10,,,mixed,density-150
40.0,45.0,1450,29,13.400000920381586,6.645992338553063e-10,,,mixed,density-150
45.0,50.0,1450,29,13.400001067410123,6.449629270304382e-10,,,mixed,density-150
50.0,55.0,1450,29,13.399999906620835,6.420624426277772e-10,,,mixed,density-150
55.0,60.0,1450,29,13.400000693008819,6.656701959983577e-10,,,mixed,density-150
60.0,65.0,1450,29,13.400001796701858,6.49461948887043e-10,,,mixed,density-150
65.0,70.0,1450,29,13.39999879909199,6.533984980332774e-10,,,mixed,density-150
70.0,75.0,1450,29,13.399999694088171,6.315401984768317e-10,,,mixed,density-150
75.0,80.0,1450,29,13.400000869103565,6.413035982067581e-10,,,mixed,density-150
80.0,85.0,1450,29,13.399998905599842,6.632206237249676e-10,,,mixed,density-150
85.0,90.0,1450,29,13.399999223132543,6.728039079508078e-10,,,mixed,density-150
90.0,95.0,1450,29,13.399999941988206,6.455924310620661e-10,,,mixed,density-150
95.0,100.0,1450,29,13.400000520950938,6.550309841972468e-10,,,mixed,density-150
100.0,105.0,1450,29,13.400000471838627,6.40890387362248e-10,,,mixed,density-150
105.0,110.0,1450,29,13.399999233038884,6.409504048640825e-10,,,mixed,density-150
110.0,115.0,1450,29,13.399999243581062,6.571714420541045e-10,,,mixed,density-150
115.0,120.0,1450,29,13.400000387606179,6.406002451764916e-10,,,mixed,density-150
120.0,125.0,1450,29,13.400000157546577,6.465966351381561e-10,,,mixed,density-150
125.0,130.0,1450,29,13.400001146038699,6.492901311040199e-10,,,mixed,density-150
130.0,135.0,1450,29,13.399999401225092,6.009859015045059e-10,,,mixed,density-150
135.0,140.0,1450,29,13.400001777667272,6.420910506196468e-10,,,mixed,density-150
140.0,145.0,1450,29,13.400000045934613,6.266542327886963e-10,,,mixed,density-150
145.0,150.0,1450,29,13.400000068883402,6.514345371450043e-10,,,mixed,density-150
0.0,5.0,1450,29,8.524697638636729,5.513291008725895,13.784,,urban,density-50
